age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_adod,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,adod,0,10,0,0,0,5
5,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
6,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
7,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
8,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
9,male,0,1e-8,0,0,6917,adod,0,10,5,0,0,5
10,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
11,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
12,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
13,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
14,male,0,1e-8,0,0,6234,adod,0,50,10,0,0,5
15,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
16,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
17,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
18,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
19,male,0,1e-8,0,0,6436,adod,0,50,15,0,0,5
20,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
21,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
22,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
23,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
24,male,0,1e-8,0,0,7845,adod,0,50,20,0,0,5
25,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
26,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
27,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
28,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
29,male,0,1e-8,0,0,9023,adod,0,50,25,0,0,5
30,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
31,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
32,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
33,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
34,male,0,1e-8,0,0,8448,adod,0,50,30,0,0,5
35,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
36,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
37,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
38,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
39,male,0,1e-8,0,0,7997,adod,0,50,35,0,0,5
40,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
41,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
42,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
43,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
44,male,5.952500390056771e-5,3.540105307559718e-5,1.7003294731672487e-6,7.924488131283758e-6,7179,adod,0,50,40,0,0,5
45,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
46,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
47,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
48,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
49,male,4.215649871460638e-4,1.1776634740314172e-4,5.523588700871121e-6,5.50285138389302e-5,7628,adod,0,50,45,0,0,5
50,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
51,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
52,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
53,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
54,male,0.0011976182858791729,2.0350597548116436e-4,1.3294640263487493e-005,1.49538604297573e-4,7605,adod,0,50,50,0,0,5
55,male,0.0024880484637982057,3.824251389301181e-4,3.2297121092008985e-5,3.02256749140722e-4,6479,adod,0,50,55,0,0,5
56,male,0.0024880484637982057,3.824251389301181e-4,3.2297121092008985e-5,3.02256749140722e-4,6479,adod,0,50,55,0,0,5
57,male,0.0024880484637982057,3.824251389301181e-4,3.2297121092008985e-5,3.02256749140722e-4,6479,adod,0,50,55,0,0,5
58,male,0.0024880484637982057,3.824251389301181e-4,3.2297121092008985e-5,3.02256749140722e-4,6479,adod,0,50,55,0,0,5
59,male,0.0024880484637982057,3.824251389301181e-4,3.2297121092008985e-5,3.02256749140722e-4,6479,adod,0,50,55,0,0,5
60,male,0.005130064315594309,8.44161156220242e-4,9.529732929593987e-5,6.157656546931389e-4,5560,adod,0,50,60,0,1,5
61,male,0.005130064315594309,8.44161156220242e-4,9.529732929593987e-5,6.157656546931389e-4,5560,adod,0,50,60,0,1,5
62,male,0.005130064315594309,8.44161156220242e-4,9.529732929593987e-5,6.157656546931389e-4,5560,adod,0,50,60,0,1,5
63,male,0.005130064315594309,8.44161156220242e-4,9.529732929593987e-5,6.157656546931389e-4,5560,adod,0,50,60,0,1,5
64,male,0.005130064315594309,8.44161156220242e-4,9.529732929593987e-5,6.157656546931389e-4,5560,adod,0,50,60,0,1,5
65,male,0.010878532426779611,0.0019019891402476334,2.3294622248613226e-4,0.0012894008919708427,5418,adod,0,50,65,1,1,5
66,male,0.010878532426779611,0.0019019891402476334,2.3294622248613226e-4,0.0012894008919708427,5418,adod,0,50,65,1,1,5
67,male,0.010878532426779611,0.0019019891402476334,2.3294622248613226e-4,0.0012894008919708427,5418,adod,0,50,65,1,1,5
68,male,0.010878532426779611,0.0019019891402476334,2.3294622248613226e-4,0.0012894008919708427,5418,adod,0,50,65,1,1,5
69,male,0.010878532426779611,0.0019019891402476334,2.3294622248613226e-4,0.0012894008919708427,5418,adod,0,50,65,1,1,5
70,male,0.024034644593557225,0.004585235712115051,6.349082162154477e-4,0.0033042389133294625,4800,adod,0,50,70,1,3,5
71,male,0.024034644593557225,0.004585235712115051,6.349082162154477e-4,0.0033042389133294625,4800,adod,0,50,70,1,3,5
72,male,0.024034644593557225,0.004585235712115051,6.349082162154477e-4,0.0033042389133294625,4800,adod,0,50,70,1,3,5
73,male,0.024034644593557225,0.004585235712115051,6.349082162154477e-4,0.0033042389133294625,4800,adod,0,50,70,1,3,5
74,male,0.024034644593557225,0.004585235712115051,6.349082162154477e-4,0.0033042389133294625,4800,adod,0,50,70,1,3,5
75,male,0.053496626727718745,0.010298003218260746,0.0020844808163085248,0.007223164353604638,3332,adod,0,50,75,3,7,5
76,male,0.053496626727718745,0.010298003218260746,0.0020844808163085248,0.007223164353604638,3332,adod,0,50,75,3,7,5
77,male,0.053496626727718745,0.010298003218260746,0.0020844808163085248,0.007223164353604638,3332,adod,0,50,75,3,7,5
78,male,0.053496626727718745,0.010298003218260746,0.0020844808163085248,0.007223164353604638,3332,adod,0,50,75,3,7,5
79,male,0.053496626727718745,0.010298003218260746,0.0020844808163085248,0.007223164353604638,3332,adod,0,50,75,3,7,5
80,male,0.10724268939442982,0.018438089667990633,0.006127321402292371,0.017552174025796424,2291,adod,0,20,80,2,14,5
81,male,0.10724268939442982,0.018438089667990633,0.006127321402292371,0.017552174025796424,2291,adod,0,20,80,2,14,5
82,male,0.10724268939442982,0.018438089667990633,0.006127321402292371,0.017552174025796424,2291,adod,0,20,80,2,14,5
83,male,0.10724268939442982,0.018438089667990633,0.006127321402292371,0.017552174025796424,2291,adod,0,20,80,2,14,5
84,male,0.10724268939442982,0.018438089667990633,0.006127321402292371,0.017552174025796424,2291,adod,0,20,80,2,14,5
85,male,0.181000769694026,0.027214350493052944,0.01683079181179831,0.028826234145827787,1276,adod,0,20,85,4,21,5
86,male,0.181000769694026,0.027214350493052944,0.01683079181179831,0.028826234145827787,1276,adod,0,20,85,4,21,5
87,male,0.181000769694026,0.027214350493052944,0.01683079181179831,0.028826234145827787,1276,adod,0,20,85,4,21,5
88,male,0.181000769694026,0.027214350493052944,0.01683079181179831,0.028826234145827787,1276,adod,0,20,85,4,21,5
89,male,0.181000769694026,0.027214350493052944,0.01683079181179831,0.028826234145827787,1276,adod,0,20,85,4,21,5
90,male,0.2525959936063778,0.03590699647754912,0.035387920426206934,0.039389337378414754,506,adod,0,10,90,3,18,5
91,male,0.2525959936063778,0.03590699647754912,0.035387920426206934,0.039389337378414754,506,adod,0,10,90,3,18,5
92,male,0.2525959936063778,0.03590699647754912,0.035387920426206934,0.039389337378414754,506,adod,0,10,90,3,18,5
93,male,0.2525959936063778,0.03590699647754912,0.035387920426206934,0.039389337378414754,506,adod,0,10,90,3,18,5
94,male,0.2525959936063778,0.03590699647754912,0.035387920426206934,0.039389337378414754,506,adod,0,10,90,3,18,5
95,male,0.3003374555103961,0.04351276336139501,0.0569487351025322,0.04629839378267595,91,adod,0,10,95,3,5,6
96,male,0.3003374555103961,0.04351276336139501,0.0569487351025322,0.04629839378267595,91,adod,0,10,95,3,5,6
97,male,0.3003374555103961,0.04351276336139501,0.0569487351025322,0.04629839378267595,91,adod,0,10,95,3,5,6
98,male,0.3003374555103961,0.04351276336139501,0.0569487351025322,0.04629839378267595,91,adod,0,10,95,3,5,6
99,male,0.3003374555103961,0.04351276336139501,0.0569487351025322,0.04629839378267595,91,adod,0,10,95,3,5,6
100,male,0.3003374555103961,0.04351276336139501,0.0569487351025322,0.04629839378267595,91,adod,0,10,95,3,5,6
