age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_bc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,bc,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,bc,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,bc,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,bc,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,bc,0,10,0,0,0,5
5,male,0,1e-8,0,0,6917,bc,0,10,5,0,0,5
6,male,0,1e-8,0,0,6917,bc,0,10,5,0,0,5
7,male,0,1e-8,0,0,6917,bc,0,10,5,0,0,5
8,male,0,1e-8,0,0,6917,bc,0,10,5,0,0,5
9,male,0,1e-8,0,0,6917,bc,0,10,5,0,0,5
10,male,0,1e-8,0,0,6234,bc,0,50,10,0,0,5
11,male,0,1e-8,0,0,6234,bc,0,50,10,0,0,5
12,male,0,1e-8,0,0,6234,bc,0,50,10,0,0,5
13,male,0,1e-8,0,0,6234,bc,0,50,10,0,0,5
14,male,0,1e-8,0,0,6234,bc,0,50,10,0,0,5
15,male,5.667845732052181e-6,6.320897815188401e-7,8.060050906589579e-8,5.263076140546843e-7,6436,bc,0,50,15,0,0,5
16,male,5.667845732052181e-6,6.320897815188401e-7,8.060050906589579e-8,5.263076140546843e-7,6436,bc,0,50,15,0,0,5
17,male,5.667845732052181e-6,6.320897815188401e-7,8.060050906589579e-8,5.263076140546843e-7,6436,bc,0,50,15,0,0,5
18,male,5.667845732052181e-6,6.320897815188401e-7,8.060050906589579e-8,5.263076140546843e-7,6436,bc,0,50,15,0,0,5
19,male,5.667845732052181e-6,6.320897815188401e-7,8.060050906589579e-8,5.263076140546843e-7,6436,bc,0,50,15,0,0,5
20,male,7.77220843186879e-6,7.49915641967472e-7,8.136587374518875e-8,6.696760905085269e-7,7845,bc,0,50,20,0,0,5
21,male,7.77220843186879e-6,7.49915641967472e-7,8.136587374518875e-8,6.696760905085269e-7,7845,bc,0,50,20,0,0,5
22,male,7.77220843186879e-6,7.49915641967472e-7,8.136587374518875e-8,6.696760905085269e-7,7845,bc,0,50,20,0,0,5
23,male,7.77220843186879e-6,7.49915641967472e-7,8.136587374518875e-8,6.696760905085269e-7,7845,bc,0,50,20,0,0,5
24,male,7.77220843186879e-6,7.49915641967472e-7,8.136587374518875e-8,6.696760905085269e-7,7845,bc,0,50,20,0,0,5
25,male,1.081950537988928e-5,1.0299584744516539e-6,9.752739351386214e-8,9.226621415210512e-7,9023,bc,0,50,25,0,0,5
26,male,1.081950537988928e-5,1.0299584744516539e-6,9.752739351386214e-8,9.226621415210512e-7,9023,bc,0,50,25,0,0,5
27,male,1.081950537988928e-5,1.0299584744516539e-6,9.752739351386214e-8,9.226621415210512e-7,9023,bc,0,50,25,0,0,5
28,male,1.081950537988928e-5,1.0299584744516539e-6,9.752739351386214e-8,9.226621415210512e-7,9023,bc,0,50,25,0,0,5
29,male,1.081950537988928e-5,1.0299584744516539e-6,9.752739351386214e-8,9.226621415210512e-7,9023,bc,0,50,25,0,0,5
30,male,1.1269658156730435e-5,1.0743218270923218e-6,1.5331051050615223e-7,9.542782412828333e-7,8448,bc,0,50,30,0,0,5
31,male,1.1269658156730435e-5,1.0743218270923218e-6,1.5331051050615223e-7,9.542782412828333e-7,8448,bc,0,50,30,0,0,5
32,male,1.1269658156730435e-5,1.0743218270923218e-6,1.5331051050615223e-7,9.542782412828333e-7,8448,bc,0,50,30,0,0,5
33,male,1.1269658156730435e-5,1.0743218270923218e-6,1.5331051050615223e-7,9.542782412828333e-7,8448,bc,0,50,30,0,0,5
34,male,1.1269658156730435e-5,1.0743218270923218e-6,1.5331051050615223e-7,9.542782412828333e-7,8448,bc,0,50,30,0,0,5
35,male,2.0989846796507855e-5,2.2010076154597246e-6,3.912166433105285e-7,1.86838276883427e-6,7997,bc,0,50,35,0,0,5
36,male,2.0989846796507855e-5,2.2010076154597246e-6,3.912166433105285e-7,1.86838276883427e-6,7997,bc,0,50,35,0,0,5
37,male,2.0989846796507855e-5,2.2010076154597246e-6,3.912166433105285e-7,1.86838276883427e-6,7997,bc,0,50,35,0,0,5
38,male,2.0989846796507855e-5,2.2010076154597246e-6,3.912166433105285e-7,1.86838276883427e-6,7997,bc,0,50,35,0,0,5
39,male,2.0989846796507855e-5,2.2010076154597246e-6,3.912166433105285e-7,1.86838276883427e-6,7997,bc,0,50,35,0,0,5
40,male,4.206403031338044e-5,4.634648948798597e-6,9.010858250180696e-7,3.8688586309342015e-6,7179,bc,0,50,40,0,0,5
41,male,4.206403031338044e-5,4.634648948798597e-6,9.010858250180696e-7,3.8688586309342015e-6,7179,bc,0,50,40,0,0,5
42,male,4.206403031338044e-5,4.634648948798597e-6,9.010858250180696e-7,3.8688586309342015e-6,7179,bc,0,50,40,0,0,5
43,male,4.206403031338044e-5,4.634648948798597e-6,9.010858250180696e-7,3.8688586309342015e-6,7179,bc,0,50,40,0,0,5
44,male,4.206403031338044e-5,4.634648948798597e-6,9.010858250180696e-7,3.8688586309342015e-6,7179,bc,0,50,40,0,0,5
45,male,6.314292777773258e-5,7.010041337616514e-6,1.559548563439984e-6,5.868073634548177e-6,7628,bc,0,50,45,0,0,5
46,male,6.314292777773258e-5,7.010041337616514e-6,1.559548563439984e-6,5.868073634548177e-6,7628,bc,0,50,45,0,0,5
47,male,6.314292777773258e-5,7.010041337616514e-6,1.559548563439984e-6,5.868073634548177e-6,7628,bc,0,50,45,0,0,5
48,male,6.314292777773258e-5,7.010041337616514e-6,1.559548563439984e-6,5.868073634548177e-6,7628,bc,0,50,45,0,0,5
49,male,6.314292777773258e-5,7.010041337616514e-6,1.559548563439984e-6,5.868073634548177e-6,7628,bc,0,50,45,0,0,5
50,male,8.355990992224391e-5,9.3309584776809e-6,2.744940144974129e-6,7.808404844899162e-6,7605,bc,0,50,50,0,0,5
51,male,8.355990992224391e-5,9.3309584776809e-6,2.744940144974129e-6,7.808404844899162e-6,7605,bc,0,50,50,0,0,5
52,male,8.355990992224391e-5,9.3309584776809e-6,2.744940144974129e-6,7.808404844899162e-6,7605,bc,0,50,50,0,0,5
53,male,8.355990992224391e-5,9.3309584776809e-6,2.744940144974129e-6,7.808404844899162e-6,7605,bc,0,50,50,0,0,5
54,male,8.355990992224391e-5,9.3309584776809e-6,2.744940144974129e-6,7.808404844899162e-6,7605,bc,0,50,50,0,0,5
55,male,1.2397394951642912e-4,1.3837510719065081e-5,4.60292728012561e-6,1.1660276333939567e-5,6479,bc,0,50,55,0,0,5
56,male,1.2397394951642912e-4,1.3837510719065081e-5,4.60292728012561e-6,1.1660276333939567e-5,6479,bc,0,50,55,0,0,5
57,male,1.2397394951642912e-4,1.3837510719065081e-5,4.60292728012561e-6,1.1660276333939567e-5,6479,bc,0,50,55,0,0,5
58,male,1.2397394951642912e-4,1.3837510719065081e-5,4.60292728012561e-6,1.1660276333939567e-5,6479,bc,0,50,55,0,0,5
59,male,1.2397394951642912e-4,1.3837510719065081e-5,4.60292728012561e-6,1.1660276333939567e-5,6479,bc,0,50,55,0,0,5
60,male,2.449425234778739e-4,2.8193056266068308e-5,9.40642106319106e-6,2.289928273520958e-5,5560,bc,0,50,60,0,0,5
61,male,2.449425234778739e-4,2.8193056266068308e-5,9.40642106319106e-6,2.289928273520958e-5,5560,bc,0,50,60,0,0,5
62,male,2.449425234778739e-4,2.8193056266068308e-5,9.40642106319106e-6,2.289928273520958e-5,5560,bc,0,50,60,0,0,5
63,male,2.449425234778739e-4,2.8193056266068308e-5,9.40642106319106e-6,2.289928273520958e-5,5560,bc,0,50,60,0,0,5
64,male,2.449425234778739e-4,2.8193056266068308e-5,9.40642106319106e-6,2.289928273520958e-5,5560,bc,0,50,60,0,0,5
65,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
66,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
67,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
68,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
69,male,3.44744437600924e-4,3.995740275583764e-5,1.4267378685923259e-5,3.236085633626728e-5,5418,bc,0,50,65,0,0,5
70,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
71,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
72,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
73,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
74,male,4.934589210215213e-4,5.789678152885664e-5,2.1682489469722678e-5,4.691089370511046e-5,4800,bc,0,50,70,0,0,5
75,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
76,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
77,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
78,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
79,male,6.449719437777337e-4,7.5611916353306e-5,3.201680855802211e-5,6.165885243526498e-5,3332,bc,0,50,75,0,0,5
80,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
81,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
82,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
83,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
84,male,6.536243967435111e-4,8.181365334786032e-5,4.847346660162127e-5,6.360365583016697e-5,2291,bc,0,20,80,0,0,5
85,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
86,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
87,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
88,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
89,male,9.179448352125965e-4,1.3579170959454335e-4,8.039437897414128e-5,9.085733095314248e-5,1276,bc,0,20,85,0,0,5
90,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
91,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
92,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
93,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
94,male,0.0011650224312076177,2.1119327880166568e-4,1.249711795679585e-4,1.3035836007111777e-4,506,bc,0,10,90,0,0,5
95,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
96,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
97,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
98,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
99,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
100,male,9.29018180218569e-4,3.4506520421485e-4,2.0427843931610434e-4,1.0729867727032407e-4,91,bc,0,10,95,0,0,6
