age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_iscs,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
1,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
2,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
3,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
4,female,3.2285918997994543e-7,4.528417573177724e-5,1.4304214629048628e-4,2.0307485188157304e-5,6598,Iscs,0,10,0,0,0,5,female_Iscs
5,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
6,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
7,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
8,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
9,female,4.547016375643979e-8,3.529477985164631e-5,3.9933029670320344e-4,5.625103820298765e-5,6603,Iscs,0,10,5,0,0,5,female_Iscs
10,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
11,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
12,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
13,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
14,female,6.608555661431066e-8,3.2199930180634816e-5,6.265304152981668e-4,8.875563430550173e-5,6051,Iscs,0,50,10,0,0,5,female_Iscs
15,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
16,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
17,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
18,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
19,female,2.839668119019909e-7,2.856878680991851e-5,8.443978352989536e-4,1.1739577779179647e-4,6338,Iscs,0,50,15,0,0,5,female_Iscs
20,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
21,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
22,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
23,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
24,female,4.337063984639162e-7,3.3359845828259135e-5,0.0010691501744091636,1.484345790870536e-4,7828,Iscs,0,50,20,0,0,5,female_Iscs
25,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
26,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
27,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
28,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
29,female,7.720108105740541e-7,4.666703994012078e-5,0.0013377292795524849,1.8590203056299208e-4,8833,Iscs,0,50,25,0,0,5,female_Iscs
30,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
31,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
32,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
33,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
34,female,1.04038273731638e-6,8.232538663519669e-5,0.001704062644030914,2.2334593407825836e-4,7963,Iscs,0,50,30,0,0,5,female_Iscs
35,female,1.6758053828593557e-6,1.4041966454100987e-4,0.002352876129351745,3.051849274809283e-4,7482,Iscs,0,50,35,0,0,5,female_Iscs
36,female,1.6758053828593557e-6,1.4041966454100987e-4,0.002352876129351745,3.051849274809283e-4,7482,Iscs,0,50,35,0,0,5,female_Iscs
37,female,1.6758053828593557e-6,1.4041966454100987e-4,0.002352876129351745,3.051849274809283e-4,7482,Iscs,0,50,35,0,0,5,female_Iscs
38,female,1.6758053828593557e-6,1.4041966454100987e-4,0.002352876129351745,3.051849274809283e-4,7482,Iscs,0,50,35,0,0,5,female_Iscs
39,female,1.6758053828593557e-6,1.4041966454100987e-4,0.002352876129351745,3.051849274809283e-4,7482,Iscs,0,50,35,0,0,5,female_Iscs
40,female,2.9342526516433494e-6,2.274890115076695e-4,0.00338089807206773,4.3485190927168327e-4,6901,Iscs,0,50,40,0,0,5,female_Iscs
41,female,2.9342526516433494e-6,2.274890115076695e-4,0.00338089807206773,4.3485190927168327e-4,6901,Iscs,0,50,40,0,0,5,female_Iscs
42,female,2.9342526516433494e-6,2.274890115076695e-4,0.00338089807206773,4.3485190927168327e-4,6901,Iscs,0,50,40,0,0,5,female_Iscs
43,female,2.9342526516433494e-6,2.274890115076695e-4,0.00338089807206773,4.3485190927168327e-4,6901,Iscs,0,50,40,0,0,5,female_Iscs
44,female,2.9342526516433494e-6,2.274890115076695e-4,0.00338089807206773,4.3485190927168327e-4,6901,Iscs,0,50,40,0,0,5,female_Iscs
45,female,6.4045269817327875e-6,3.4335603248897344e-4,0.005012851562574797,6.310284529297375e-4,7531,Iscs,0,50,45,0,0,5,female_Iscs
46,female,6.4045269817327875e-6,3.4335603248897344e-4,0.005012851562574797,6.310284529297375e-4,7531,Iscs,0,50,45,0,0,5,female_Iscs
47,female,6.4045269817327875e-6,3.4335603248897344e-4,0.005012851562574797,6.310284529297375e-4,7531,Iscs,0,50,45,0,0,5,female_Iscs
48,female,6.4045269817327875e-6,3.4335603248897344e-4,0.005012851562574797,6.310284529297375e-4,7531,Iscs,0,50,45,0,0,5,female_Iscs
49,female,6.4045269817327875e-6,3.4335603248897344e-4,0.005012851562574797,6.310284529297375e-4,7531,Iscs,0,50,45,0,0,5,female_Iscs
50,female,9.671806894634975e-6,5.288091364790065e-4,0.007410681356216077,9.495617598410198e-4,7629,Iscs,0,50,50,0,0,5,female_Iscs
51,female,9.671806894634975e-6,5.288091364790065e-4,0.007410681356216077,9.495617598410198e-4,7629,Iscs,0,50,50,0,0,5,female_Iscs
52,female,9.671806894634975e-6,5.288091364790065e-4,0.007410681356216077,9.495617598410198e-4,7629,Iscs,0,50,50,0,0,5,female_Iscs
53,female,9.671806894634975e-6,5.288091364790065e-4,0.007410681356216077,9.495617598410198e-4,7629,Iscs,0,50,50,0,0,5,female_Iscs
54,female,9.671806894634975e-6,5.288091364790065e-4,0.007410681356216077,9.495617598410198e-4,7629,Iscs,0,50,50,0,0,5,female_Iscs
55,female,1.6477693320658363e-5,7.838715511183812e-4,0.010971057661626262,0.0014577997043979944,6580,Iscs,0,50,55,1,0,5,female_Iscs
56,female,1.6477693320658363e-5,7.838715511183812e-4,0.010971057661626262,0.0014577997043979944,6580,Iscs,0,50,55,1,0,5,female_Iscs
57,female,1.6477693320658363e-5,7.838715511183812e-4,0.010971057661626262,0.0014577997043979944,6580,Iscs,0,50,55,1,0,5,female_Iscs
58,female,1.6477693320658363e-5,7.838715511183812e-4,0.010971057661626262,0.0014577997043979944,6580,Iscs,0,50,55,1,0,5,female_Iscs
59,female,1.6477693320658363e-5,7.838715511183812e-4,0.010971057661626262,0.0014577997043979944,6580,Iscs,0,50,55,1,0,5,female_Iscs
60,female,5.1774788412641565e-5,0.0012454128965674503,0.01602084941029419,0.0021847737839526538,5725,Iscs,0,50,60,1,0,5,female_Iscs
61,female,5.1774788412641565e-5,0.0012454128965674503,0.01602084941029419,0.0021847737839526538,5725,Iscs,0,50,60,1,0,5,female_Iscs
62,female,5.1774788412641565e-5,0.0012454128965674503,0.01602084941029419,0.0021847737839526538,5725,Iscs,0,50,60,1,0,5,female_Iscs
63,female,5.1774788412641565e-5,0.0012454128965674503,0.01602084941029419,0.0021847737839526538,5725,Iscs,0,50,60,1,0,5,female_Iscs
64,female,5.1774788412641565e-5,0.0012454128965674503,0.01602084941029419,0.0021847737839526538,5725,Iscs,0,50,60,1,0,5,female_Iscs
65,female,1.0562025958828738e-4,0.0019134996542386218,0.023477876018507333,0.0032725753747218436,5670,Iscs,0,50,65,1,1,5,female_Iscs
66,female,1.0562025958828738e-4,0.0019134996542386218,0.023477876018507333,0.0032725753747218436,5670,Iscs,0,50,65,1,1,5,female_Iscs
67,female,1.0562025958828738e-4,0.0019134996542386218,0.023477876018507333,0.0032725753747218436,5670,Iscs,0,50,65,1,1,5,female_Iscs
68,female,1.0562025958828738e-4,0.0019134996542386218,0.023477876018507333,0.0032725753747218436,5670,Iscs,0,50,65,1,1,5,female_Iscs
69,female,1.0562025958828738e-4,0.0019134996542386218,0.023477876018507333,0.0032725753747218436,5670,Iscs,0,50,65,1,1,5,female_Iscs
70,female,3.1850992509277443e-4,0.002663022239585842,0.03365691857576869,0.005125065959823607,5104,Iscs,0,50,70,2,2,5,female_Iscs
71,female,3.1850992509277443e-4,0.002663022239585842,0.03365691857576869,0.005125065959823607,5104,Iscs,0,50,70,2,2,5,female_Iscs
72,female,3.1850992509277443e-4,0.002663022239585842,0.03365691857576869,0.005125065959823607,5104,Iscs,0,50,70,2,2,5,female_Iscs
73,female,3.1850992509277443e-4,0.002663022239585842,0.03365691857576869,0.005125065959823607,5104,Iscs,0,50,70,2,2,5,female_Iscs
74,female,3.1850992509277443e-4,0.002663022239585842,0.03365691857576869,0.005125065959823607,5104,Iscs,0,50,70,2,2,5,female_Iscs
75,female,8.082566383116386e-4,0.003489736598245829,0.04702488716519364,0.007975137611286029,3792,Iscs,0,50,75,2,3,5,female_Iscs
76,female,8.082566383116386e-4,0.003489736598245829,0.04702488716519364,0.007975137611286029,3792,Iscs,0,50,75,2,3,5,female_Iscs
77,female,8.082566383116386e-4,0.003489736598245829,0.04702488716519364,0.007975137611286029,3792,Iscs,0,50,75,2,3,5,female_Iscs
78,female,8.082566383116386e-4,0.003489736598245829,0.04702488716519364,0.007975137611286029,3792,Iscs,0,50,75,2,3,5,female_Iscs
79,female,8.082566383116386e-4,0.003489736598245829,0.04702488716519364,0.007975137611286029,3792,Iscs,0,50,75,2,3,5,female_Iscs
80,female,0.002799835201728579,0.005758039115340848,0.06335332609005538,0.01154905333249526,2983,Iscs,0,20,80,1,8,5,female_Iscs
81,female,0.002799835201728579,0.005758039115340848,0.06335332609005538,0.01154905333249526,2983,Iscs,0,20,80,1,8,5,female_Iscs
82,female,0.002799835201728579,0.005758039115340848,0.06335332609005538,0.01154905333249526,2983,Iscs,0,20,80,1,8,5,female_Iscs
83,female,0.002799835201728579,0.005758039115340848,0.06335332609005538,0.01154905333249526,2983,Iscs,0,20,80,1,8,5,female_Iscs
84,female,0.002799835201728579,0.005758039115340848,0.06335332609005538,0.01154905333249526,2983,Iscs,0,20,80,1,8,5,female_Iscs
85,female,0.007211340512294793,0.009472593342669464,0.0817918181986076,0.015794116193650856,2001,Iscs,0,20,85,2,14,5,female_Iscs
86,female,0.007211340512294793,0.009472593342669464,0.0817918181986076,0.015794116193650856,2001,Iscs,0,20,85,2,14,5,female_Iscs
87,female,0.007211340512294793,0.009472593342669464,0.0817918181986076,0.015794116193650856,2001,Iscs,0,20,85,2,14,5,female_Iscs
88,female,0.007211340512294793,0.009472593342669464,0.0817918181986076,0.015794116193650856,2001,Iscs,0,20,85,2,14,5,female_Iscs
89,female,0.007211340512294793,0.009472593342669464,0.0817918181986076,0.015794116193650856,2001,Iscs,0,20,85,2,14,5,female_Iscs
90,female,0.012778806501385796,0.013180818663474744,0.09775729780039699,0.019561001758577164,1019,Iscs,0,10,90,1,13,5,female_Iscs
91,female,0.012778806501385796,0.013180818663474744,0.09775729780039699,0.019561001758577164,1019,Iscs,0,10,90,1,13,5,female_Iscs
92,female,0.012778806501385796,0.013180818663474744,0.09775729780039699,0.019561001758577164,1019,Iscs,0,10,90,1,13,5,female_Iscs
93,female,0.012778806501385796,0.013180818663474744,0.09775729780039699,0.019561001758577164,1019,Iscs,0,10,90,1,13,5,female_Iscs
94,female,0.012778806501385796,0.013180818663474744,0.09775729780039699,0.019561001758577164,1019,Iscs,0,10,90,1,13,5,female_Iscs
95,female,0.024385124657139736,0.01688032370422513,0.10842050237212592,0.022732575305081788,275,Iscs,0,10,95,1,7,6,female_Iscs
96,female,0.024385124657139736,0.01688032370422513,0.10842050237212592,0.022732575305081788,275,Iscs,0,10,95,1,7,6,female_Iscs
97,female,0.024385124657139736,0.01688032370422513,0.10842050237212592,0.022732575305081788,275,Iscs,0,10,95,1,7,6,female_Iscs
98,female,0.024385124657139736,0.01688032370422513,0.10842050237212592,0.022732575305081788,275,Iscs,0,10,95,1,7,6,female_Iscs
99,female,0.024385124657139736,0.01688032370422513,0.10842050237212592,0.022732575305081788,275,Iscs,0,10,95,1,7,6,female_Iscs
100,female,0.024385124657139736,0.01688032370422513,0.10842050237212592,0.022732575305081788,275,Iscs,0,10,95,1,7,6,female_Iscs
