age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_stmc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
1,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
2,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
3,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
4,female,0,1e-8,0,0,6598,Stmc,0,10,0,0,0,5,female_Stmc
5,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
6,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
7,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
8,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
9,female,0,1e-8,0,0,6603,Stmc,0,10,5,0,0,5,female_Stmc
10,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
11,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
12,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
13,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
14,female,0,1e-8,0,0,6051,Stmc,0,50,10,0,0,5,female_Stmc
15,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
16,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
17,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
18,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
19,female,1.7250242160444044e-7,5.515351702455047e-7,1.9480446052385284e-6,2.0078089341306704e-7,6338,Stmc,0,50,15,0,0,5,female_Stmc
20,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
21,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
22,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
23,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
24,female,3.921670140790797e-7,1.3765972610166095e-6,5.133170989946578e-6,5.146428763425046e-7,7828,Stmc,0,50,20,0,0,5,female_Stmc
25,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
26,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
27,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
28,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
29,female,1.4039794974326344e-6,4.7235647128144475e-6,1.7633918770652656e-5,1.7673579543013052e-6,8833,Stmc,0,50,25,0,0,5,female_Stmc
30,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
31,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
32,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
33,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
34,female,3.345475654486049e-6,1.0965633152184894e-5,4.2096000509001436e-5,4.163384379391938e-6,7963,Stmc,0,50,30,0,0,5,female_Stmc
35,female,6.277287421220051e-6,1.792901345243239e-5,6.361681859020157e-5,6.556894004515664e-6,7482,Stmc,0,50,35,0,0,5,female_Stmc
36,female,6.277287421220051e-6,1.792901345243239e-5,6.361681859020157e-5,6.556894004515664e-6,7482,Stmc,0,50,35,0,0,5,female_Stmc
37,female,6.277287421220051e-6,1.792901345243239e-5,6.361681859020157e-5,6.556894004515664e-6,7482,Stmc,0,50,35,0,0,5,female_Stmc
38,female,6.277287421220051e-6,1.792901345243239e-5,6.361681859020157e-5,6.556894004515664e-6,7482,Stmc,0,50,35,0,0,5,female_Stmc
39,female,6.277287421220051e-6,1.792901345243239e-5,6.361681859020157e-5,6.556894004515664e-6,7482,Stmc,0,50,35,0,0,5,female_Stmc
40,female,1.1187724762126368e-5,2.7856534472091804e-5,9.593893838837402e-5,1.0051592254866691e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
41,female,1.1187724762126368e-5,2.7856534472091804e-5,9.593893838837402e-5,1.0051592254866691e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
42,female,1.1187724762126368e-5,2.7856534472091804e-5,9.593893838837402e-5,1.0051592254866691e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
43,female,1.1187724762126368e-5,2.7856534472091804e-5,9.593893838837402e-5,1.0051592254866691e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
44,female,1.1187724762126368e-5,2.7856534472091804e-5,9.593893838837402e-5,1.0051592254866691e-5,6901,Stmc,0,50,40,0,0,5,female_Stmc
45,female,1.7261763866139537e-5,4.1931882694041526e-5,1.4681048247716633e-4,1.5119582377744376e-5,7531,Stmc,0,50,45,0,0,5,female_Stmc
46,female,1.7261763866139537e-5,4.1931882694041526e-5,1.4681048247716633e-4,1.5119582377744376e-5,7531,Stmc,0,50,45,0,0,5,female_Stmc
47,female,1.7261763866139537e-5,4.1931882694041526e-5,1.4681048247716633e-4,1.5119582377744376e-5,7531,Stmc,0,50,45,0,0,5,female_Stmc
48,female,1.7261763866139537e-5,4.1931882694041526e-5,1.4681048247716633e-4,1.5119582377744376e-5,7531,Stmc,0,50,45,0,0,5,female_Stmc
49,female,1.7261763866139537e-5,4.1931882694041526e-5,1.4681048247716633e-4,1.5119582377744376e-5,7531,Stmc,0,50,45,0,0,5,female_Stmc
50,female,2.6706426748490544e-5,6.053594786441481e-5,2.0691774509564673e-4,2.1244117760340516e-5,7629,Stmc,0,50,50,0,0,5,female_Stmc
51,female,2.6706426748490544e-5,6.053594786441481e-5,2.0691774509564673e-4,2.1244117760340516e-5,7629,Stmc,0,50,50,0,0,5,female_Stmc
52,female,2.6706426748490544e-5,6.053594786441481e-5,2.0691774509564673e-4,2.1244117760340516e-5,7629,Stmc,0,50,50,0,0,5,female_Stmc
53,female,2.6706426748490544e-5,6.053594786441481e-5,2.0691774509564673e-4,2.1244117760340516e-5,7629,Stmc,0,50,50,0,0,5,female_Stmc
54,female,2.6706426748490544e-5,6.053594786441481e-5,2.0691774509564673e-4,2.1244117760340516e-5,7629,Stmc,0,50,50,0,0,5,female_Stmc
55,female,4.469589779402264e-5,9.59326066157529e-5,3.181560412162813e-4,3.325700674862252e-5,6580,Stmc,0,50,55,0,0,5,female_Stmc
56,female,4.469589779402264e-5,9.59326066157529e-5,3.181560412162813e-4,3.325700674862252e-5,6580,Stmc,0,50,55,0,0,5,female_Stmc
57,female,4.469589779402264e-5,9.59326066157529e-5,3.181560412162813e-4,3.325700674862252e-5,6580,Stmc,0,50,55,0,0,5,female_Stmc
58,female,4.469589779402264e-5,9.59326066157529e-5,3.181560412162813e-4,3.325700674862252e-5,6580,Stmc,0,50,55,0,0,5,female_Stmc
59,female,4.469589779402264e-5,9.59326066157529e-5,3.181560412162813e-4,3.325700674862252e-5,6580,Stmc,0,50,55,0,0,5,female_Stmc
60,female,7.826922401592073e-5,1.5237384349294351e-4,4.6403255990995306e-4,5.0955924806278963e-5,5725,Stmc,0,50,60,0,0,5,female_Stmc
61,female,7.826922401592073e-5,1.5237384349294351e-4,4.6403255990995306e-4,5.0955924806278963e-5,5725,Stmc,0,50,60,0,0,5,female_Stmc
62,female,7.826922401592073e-5,1.5237384349294351e-4,4.6403255990995306e-4,5.0955924806278963e-5,5725,Stmc,0,50,60,0,0,5,female_Stmc
63,female,7.826922401592073e-5,1.5237384349294351e-4,4.6403255990995306e-4,5.0955924806278963e-5,5725,Stmc,0,50,60,0,0,5,female_Stmc
64,female,7.826922401592073e-5,1.5237384349294351e-4,4.6403255990995306e-4,5.0955924806278963e-5,5725,Stmc,0,50,60,0,0,5,female_Stmc
65,female,1.2440019419665283e-4,2.2393986491794308e-4,6.324203961810158e-4,7.277723919474605e-5,5670,Stmc,0,50,65,0,1,5,female_Stmc
66,female,1.2440019419665283e-4,2.2393986491794308e-4,6.324203961810158e-4,7.277723919474605e-5,5670,Stmc,0,50,65,0,1,5,female_Stmc
67,female,1.2440019419665283e-4,2.2393986491794308e-4,6.324203961810158e-4,7.277723919474605e-5,5670,Stmc,0,50,65,0,1,5,female_Stmc
68,female,1.2440019419665283e-4,2.2393986491794308e-4,6.324203961810158e-4,7.277723919474605e-5,5670,Stmc,0,50,65,0,1,5,female_Stmc
69,female,1.2440019419665283e-4,2.2393986491794308e-4,6.324203961810158e-4,7.277723919474605e-5,5670,Stmc,0,50,65,0,1,5,female_Stmc
70,female,2.093519224469753e-4,4.002328595883016e-4,0.0011935436311160705,1.2529705190252797e-4,5104,Stmc,0,50,70,0,1,5,female_Stmc
71,female,2.093519224469753e-4,4.002328595883016e-4,0.0011935436311160705,1.2529705190252797e-4,5104,Stmc,0,50,70,0,1,5,female_Stmc
72,female,2.093519224469753e-4,4.002328595883016e-4,0.0011935436311160705,1.2529705190252797e-4,5104,Stmc,0,50,70,0,1,5,female_Stmc
73,female,2.093519224469753e-4,4.002328595883016e-4,0.0011935436311160705,1.2529705190252797e-4,5104,Stmc,0,50,70,0,1,5,female_Stmc
74,female,2.093519224469753e-4,4.002328595883016e-4,0.0011935436311160705,1.2529705190252797e-4,5104,Stmc,0,50,70,0,1,5,female_Stmc
75,female,3.989070748593065e-4,6.610852088449946e-4,0.001664289824265393,1.8618777101950612e-4,3792,Stmc,0,50,75,0,2,5,female_Stmc
76,female,3.989070748593065e-4,6.610852088449946e-4,0.001664289824265393,1.8618777101950612e-4,3792,Stmc,0,50,75,0,2,5,female_Stmc
77,female,3.989070748593065e-4,6.610852088449946e-4,0.001664289824265393,1.8618777101950612e-4,3792,Stmc,0,50,75,0,2,5,female_Stmc
78,female,3.989070748593065e-4,6.610852088449946e-4,0.001664289824265393,1.8618777101950612e-4,3792,Stmc,0,50,75,0,2,5,female_Stmc
79,female,3.989070748593065e-4,6.610852088449946e-4,0.001664289824265393,1.8618777101950612e-4,3792,Stmc,0,50,75,0,2,5,female_Stmc
80,female,6.616932025704279e-4,9.51827554487456e-4,0.0019585084386994143,2.4447581599240924e-4,2983,Stmc,0,20,80,0,2,5,female_Stmc
81,female,6.616932025704279e-4,9.51827554487456e-4,0.0019585084386994143,2.4447581599240924e-4,2983,Stmc,0,20,80,0,2,5,female_Stmc
82,female,6.616932025704279e-4,9.51827554487456e-4,0.0019585084386994143,2.4447581599240924e-4,2983,Stmc,0,20,80,0,2,5,female_Stmc
83,female,6.616932025704279e-4,9.51827554487456e-4,0.0019585084386994143,2.4447581599240924e-4,2983,Stmc,0,20,80,0,2,5,female_Stmc
84,female,6.616932025704279e-4,9.51827554487456e-4,0.0019585084386994143,2.4447581599240924e-4,2983,Stmc,0,20,80,0,2,5,female_Stmc
85,female,0.0010289750252222916,0.0014806314284611486,0.002694757954957531,3.4961082333518056e-4,2001,Stmc,0,20,85,0,2,5,female_Stmc
86,female,0.0010289750252222916,0.0014806314284611486,0.002694757954957531,3.4961082333518056e-4,2001,Stmc,0,20,85,0,2,5,female_Stmc
87,female,0.0010289750252222916,0.0014806314284611486,0.002694757954957531,3.4961082333518056e-4,2001,Stmc,0,20,85,0,2,5,female_Stmc
88,female,0.0010289750252222916,0.0014806314284611486,0.002694757954957531,3.4961082333518056e-4,2001,Stmc,0,20,85,0,2,5,female_Stmc
89,female,0.0010289750252222916,0.0014806314284611486,0.002694757954957531,3.4961082333518056e-4,2001,Stmc,0,20,85,0,2,5,female_Stmc
90,female,0.001484278886224134,0.00213206619925448,0.003226718975778927,4.725723333196559e-4,1019,Stmc,0,10,90,0,2,5,female_Stmc
91,female,0.001484278886224134,0.00213206619925448,0.003226718975778927,4.725723333196559e-4,1019,Stmc,0,10,90,0,2,5,female_Stmc
92,female,0.001484278886224134,0.00213206619925448,0.003226718975778927,4.725723333196559e-4,1019,Stmc,0,10,90,0,2,5,female_Stmc
93,female,0.001484278886224134,0.00213206619925448,0.003226718975778927,4.725723333196559e-4,1019,Stmc,0,10,90,0,2,5,female_Stmc
94,female,0.001484278886224134,0.00213206619925448,0.003226718975778927,4.725723333196559e-4,1019,Stmc,0,10,90,0,2,5,female_Stmc
95,female,0.0021730070282218496,0.0031183936766467153,0.0018453865939004762,5.360654324278287e-4,275,Stmc,0,10,95,0,1,6,female_Stmc
96,female,0.0021730070282218496,0.0031183936766467153,0.0018453865939004762,5.360654324278287e-4,275,Stmc,0,10,95,0,1,6,female_Stmc
97,female,0.0021730070282218496,0.0031183936766467153,0.0018453865939004762,5.360654324278287e-4,275,Stmc,0,10,95,0,1,6,female_Stmc
98,female,0.0021730070282218496,0.0031183936766467153,0.0018453865939004762,5.360654324278287e-4,275,Stmc,0,10,95,0,1,6,female_Stmc
99,female,0.0021730070282218496,0.0031183936766467153,0.0018453865939004762,5.360654324278287e-4,275,Stmc,0,10,95,0,1,6,female_Stmc
100,female,0.0021730070282218496,0.0031183936766467153,0.0018453865939004762,5.360654324278287e-4,275,Stmc,0,10,95,0,1,6,female_Stmc
