age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_lc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,male,0,1e-8,0,0,6980,lc,0,10,0,0,0,5
1,male,0,1e-8,0,0,6980,lc,0,10,0,0,0,5
2,male,0,1e-8,0,0,6980,lc,0,10,0,0,0,5
3,male,0,1e-8,0,0,6980,lc,0,10,0,0,0,5
4,male,0,1e-8,0,0,6980,lc,0,10,0,0,0,5
5,male,0,1.4345130995694416e-6,2.8202498122929203e-7,2.964241520909507e-7,6917,lc,0,10,5,0,0,5
6,male,0,1.4345130995694416e-6,2.8202498122929203e-7,2.964241520909507e-7,6917,lc,0,10,5,0,0,5
7,male,0,1.4345130995694416e-6,2.8202498122929203e-7,2.964241520909507e-7,6917,lc,0,10,5,0,0,5
8,male,0,1.4345130995694416e-6,2.8202498122929203e-7,2.964241520909507e-7,6917,lc,0,10,5,0,0,5
9,male,0,1.4345130995694416e-6,2.8202498122929203e-7,2.964241520909507e-7,6917,lc,0,10,5,0,0,5
10,male,0,2.1282040883642917e-6,4.272936949908217e-7,4.4912975802089336e-7,6234,lc,0,50,10,0,0,5
11,male,0,2.1282040883642917e-6,4.272936949908217e-7,4.4912975802089336e-7,6234,lc,0,50,10,0,0,5
12,male,0,2.1282040883642917e-6,4.272936949908217e-7,4.4912975802089336e-7,6234,lc,0,50,10,0,0,5
13,male,0,2.1282040883642917e-6,4.272936949908217e-7,4.4912975802089336e-7,6234,lc,0,50,10,0,0,5
14,male,0,2.1282040883642917e-6,4.272936949908217e-7,4.4912975802089336e-7,6234,lc,0,50,10,0,0,5
15,male,0,3.2213608999120757e-6,5.260536352915692e-7,6.8155574248673e-7,6436,lc,0,50,15,0,0,5
16,male,0,3.2213608999120757e-6,5.260536352915692e-7,6.8155574248673e-7,6436,lc,0,50,15,0,0,5
17,male,0,3.2213608999120757e-6,5.260536352915692e-7,6.8155574248673e-7,6436,lc,0,50,15,0,0,5
18,male,0,3.2213608999120757e-6,5.260536352915692e-7,6.8155574248673e-7,6436,lc,0,50,15,0,0,5
19,male,0,3.2213608999120757e-6,5.260536352915692e-7,6.8155574248673e-7,6436,lc,0,50,15,0,0,5
20,male,0,5.9067404773716254e-6,9.052433011725177e-7,1.2442394611197654e-6,7845,lc,0,50,20,0,0,5
21,male,0,5.9067404773716254e-6,9.052433011725177e-7,1.2442394611197654e-6,7845,lc,0,50,20,0,0,5
22,male,0,5.9067404773716254e-6,9.052433011725177e-7,1.2442394611197654e-6,7845,lc,0,50,20,0,0,5
23,male,0,5.9067404773716254e-6,9.052433011725177e-7,1.2442394611197654e-6,7845,lc,0,50,20,0,0,5
24,male,0,5.9067404773716254e-6,9.052433011725177e-7,1.2442394611197654e-6,7845,lc,0,50,20,0,0,5
25,male,0,4.9816135649284035e-6,1.5680935133682746e-6,1.361983249213808e-6,9023,lc,0,50,25,0,0,5
26,male,0,4.9816135649284035e-6,1.5680935133682746e-6,1.361983249213808e-6,9023,lc,0,50,25,0,0,5
27,male,0,4.9816135649284035e-6,1.5680935133682746e-6,1.361983249213808e-6,9023,lc,0,50,25,0,0,5
28,male,0,4.9816135649284035e-6,1.5680935133682746e-6,1.361983249213808e-6,9023,lc,0,50,25,0,0,5
29,male,0,4.9816135649284035e-6,1.5680935133682746e-6,1.361983249213808e-6,9023,lc,0,50,25,0,0,5
30,male,0,1.0559407337080395e-5,2.955751886755294e-6,3.0090149931578352e-6,8448,lc,0,50,30,0,0,5
31,male,0,1.0559407337080395e-5,2.955751886755294e-6,3.0090149931578352e-6,8448,lc,0,50,30,0,0,5
32,male,0,1.0559407337080395e-5,2.955751886755294e-6,3.0090149931578352e-6,8448,lc,0,50,30,0,0,5
33,male,0,1.0559407337080395e-5,2.955751886755294e-6,3.0090149931578352e-6,8448,lc,0,50,30,0,0,5
34,male,0,1.0559407337080395e-5,2.955751886755294e-6,3.0090149931578352e-6,8448,lc,0,50,30,0,0,5
35,male,0,9.813097469648886e-6,3.938529255531046e-6,2.982144163014693e-6,7997,lc,0,50,35,0,0,5
36,male,0,9.813097469648886e-6,3.938529255531046e-6,2.982144163014693e-6,7997,lc,0,50,35,0,0,5
37,male,0,9.813097469648886e-6,3.938529255531046e-6,2.982144163014693e-6,7997,lc,0,50,35,0,0,5
38,male,0,9.813097469648886e-6,3.938529255531046e-6,2.982144163014693e-6,7997,lc,0,50,35,0,0,5
39,male,0,9.813097469648886e-6,3.938529255531046e-6,2.982144163014693e-6,7997,lc,0,50,35,0,0,5
40,male,0,2.3876465596867264e-5,1.0555096931945184e-5,7.193087369926304e-6,7179,lc,0,50,40,0,0,5
41,male,0,2.3876465596867264e-5,1.0555096931945184e-5,7.193087369926304e-6,7179,lc,0,50,40,0,0,5
42,male,0,2.3876465596867264e-5,1.0555096931945184e-5,7.193087369926304e-6,7179,lc,0,50,40,0,0,5
43,male,0,2.3876465596867264e-5,1.0555096931945184e-5,7.193087369926304e-6,7179,lc,0,50,40,0,0,5
44,male,0,2.3876465596867264e-5,1.0555096931945184e-5,7.193087369926304e-6,7179,lc,0,50,40,0,0,5
45,male,0,4.235140390572815e-5,2.2057979738844557e-5,1.2795057108736402e-5,7628,lc,0,50,45,0,0,5
46,male,0,4.235140390572815e-5,2.2057979738844557e-5,1.2795057108736402e-5,7628,lc,0,50,45,0,0,5
47,male,0,4.235140390572815e-5,2.2057979738844557e-5,1.2795057108736402e-5,7628,lc,0,50,45,0,0,5
48,male,0,4.235140390572815e-5,2.2057979738844557e-5,1.2795057108736402e-5,7628,lc,0,50,45,0,0,5
49,male,0,4.235140390572815e-5,2.2057979738844557e-5,1.2795057108736402e-5,7628,lc,0,50,45,0,0,5
50,male,0,7.760250434694048e-5,4.373774699372016e-5,2.2979867482109174e-5,7605,lc,0,50,50,0,0,5
51,male,0,7.760250434694048e-5,4.373774699372016e-5,2.2979867482109174e-5,7605,lc,0,50,50,0,0,5
52,male,0,7.760250434694048e-5,4.373774699372016e-5,2.2979867482109174e-5,7605,lc,0,50,50,0,0,5
53,male,0,7.760250434694048e-5,4.373774699372016e-5,2.2979867482109174e-5,7605,lc,0,50,50,0,0,5
54,male,0,7.760250434694048e-5,4.373774699372016e-5,2.2979867482109174e-5,7605,lc,0,50,50,0,0,5
55,male,1.7933884373658638e-5,1.2452602102447634e-4,7.936068254658328e-5,3.5561445251647964e-5,6479,lc,0,50,55,0,1,5
56,male,1.7933884373658638e-5,1.2452602102447634e-4,7.936068254658328e-5,3.5561445251647964e-5,6479,lc,0,50,55,0,1,5
57,male,1.7933884373658638e-5,1.2452602102447634e-4,7.936068254658328e-5,3.5561445251647964e-5,6479,lc,0,50,55,0,1,5
58,male,1.7933884373658638e-5,1.2452602102447634e-4,7.936068254658328e-5,3.5561445251647964e-5,6479,lc,0,50,55,0,1,5
59,male,1.7933884373658638e-5,1.2452602102447634e-4,7.936068254658328e-5,3.5561445251647964e-5,6479,lc,0,50,55,0,1,5
60,male,1.4181675894739756e-4,1.9532712366305635e-4,1.433479473383438e-4,5.211639697907534e-5,5560,lc,0,50,60,0,1,5
61,male,1.4181675894739756e-4,1.9532712366305635e-4,1.433479473383438e-4,5.211639697907534e-5,5560,lc,0,50,60,0,1,5
62,male,1.4181675894739756e-4,1.9532712366305635e-4,1.433479473383438e-4,5.211639697907534e-5,5560,lc,0,50,60,0,1,5
63,male,1.4181675894739756e-4,1.9532712366305635e-4,1.433479473383438e-4,5.211639697907534e-5,5560,lc,0,50,60,0,1,5
64,male,1.4181675894739756e-4,1.9532712366305635e-4,1.433479473383438e-4,5.211639697907534e-5,5560,lc,0,50,60,0,1,5
65,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
66,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
67,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
68,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
69,male,0.00034122899216064033,2.861119652434616e-4,2.0834224514778874e-4,7.765446514477685e-5,5418,lc,0,50,65,0,1,5
70,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
71,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
72,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
73,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
74,male,4.1652692570730494e-4,3.783506017797884e-4,2.8978422032530587e-4,9.995968749349776e-5,4800,lc,0,50,70,0,1,5
75,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
76,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
77,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
78,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
79,male,4.302773078693235e-4,4.918871175271454e-4,4.061314142981802e-4,1.2355857794021176e-4,3332,lc,0,50,75,0,1,5
80,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
81,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
82,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
83,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
84,male,6.212819487904342e-4,6.542954221233465e-4,5.376403652411312e-4,1.6773878008300477e-4,2291,lc,0,20,80,0,1,5
85,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
86,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
87,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
88,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
89,male,7.493693221768373e-4,9.136147988810251e-4,7.493776132523305e-4,2.277641737264614e-4,1276,lc,0,20,85,0,1,5
90,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
91,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
92,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
93,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
94,male,5.49885595578482e-4,8.932484722832441e-4,7.324024878518786e-4,2.149560352872691e-4,506,lc,0,10,90,0,0,5
95,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
96,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
97,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
98,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
99,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
100,male,5.1399906553174096e-5,9.258230806942278e-4,7.592346253514826e-4,1.8622075341081766e-4,91,lc,0,10,95,0,0,6
