age,sex,prev,inc,mort,ylds..years.lived.with.disability._rate_tblc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp
0,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
1,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
2,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
3,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
4,female,0,1e-8,0,0,6598,tblc,0,10,0,0,0,5
5,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
6,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
7,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
8,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
9,female,0,1e-8,0,0,6603,tblc,0,10,5,0,0,5
10,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
11,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
12,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
13,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
14,female,0,1e-8,0,0,6051,tblc,0,50,10,0,0,5
15,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
16,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
17,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
18,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
19,female,9.629885153696647e-7,5.674358112299166e-7,3.697814017831654e-7,1.6200288423516922e-7,6338,tblc,0,50,15,0,0,5
20,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
21,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
22,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
23,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
24,female,1.8031178045189514e-6,9.64362883351298e-7,5.347569143310079e-7,2.8349593747229196e-7,7828,tblc,0,50,20,0,0,5
25,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
26,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
27,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
28,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
29,female,6.012591937280678e-6,2.533482089697864e-6,1.2180344994778512e-6,8.068137405339773e-7,8833,tblc,0,50,25,0,0,5
30,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
31,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
32,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
33,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
34,female,1.574135485028481e-5,7.390122378335049e-6,3.940033220248147e-6,2.2668901919868374e-6,7963,tblc,0,50,30,0,0,5
35,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
36,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
37,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
38,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
39,female,3.7148445098212794e-5,1.780136193076075e-5,1.0847021981921796e-5,5.422562921434741e-6,7482,tblc,0,50,35,0,0,5
40,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
41,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
42,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
43,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
44,female,9.107599460261777e-5,4.419566140111716e-5,3.0407203817404278e-5,1.3392967928330304e-5,6901,tblc,0,50,40,0,0,5
45,female,2.4242759216740528e-4,1.2340445478606363e-4,9.03694088004679e-5,3.629371835680696e-5,7531,tblc,0,50,45,0,1,5
46,female,2.4242759216740528e-4,1.2340445478606363e-4,9.03694088004679e-5,3.629371835680696e-5,7531,tblc,0,50,45,0,1,5
47,female,2.4242759216740528e-4,1.2340445478606363e-4,9.03694088004679e-5,3.629371835680696e-5,7531,tblc,0,50,45,0,1,5
48,female,2.4242759216740528e-4,1.2340445478606363e-4,9.03694088004679e-5,3.629371835680696e-5,7531,tblc,0,50,45,0,1,5
49,female,2.4242759216740528e-4,1.2340445478606363e-4,9.03694088004679e-5,3.629371835680696e-5,7531,tblc,0,50,45,0,1,5
50,female,7.338389230984451e-4,2.928871355329466e-4,1.9346368984615538e-4,9.104384777293844e-5,7629,tblc,0,50,50,0,1,5
51,female,7.338389230984451e-4,2.928871355329466e-4,1.9346368984615538e-4,9.104384777293844e-5,7629,tblc,0,50,50,0,1,5
52,female,7.338389230984451e-4,2.928871355329466e-4,1.9346368984615538e-4,9.104384777293844e-5,7629,tblc,0,50,50,0,1,5
53,female,7.338389230984451e-4,2.928871355329466e-4,1.9346368984615538e-4,9.104384777293844e-5,7629,tblc,0,50,50,0,1,5
54,female,7.338389230984451e-4,2.928871355329466e-4,1.9346368984615538e-4,9.104384777293844e-5,7629,tblc,0,50,50,0,1,5
55,female,0.0017648689057920372,6.329730596223188e-4,4.010639616276646e-4,1.9924517251750172e-4,6580,tblc,0,50,55,0,3,5
56,female,0.0017648689057920372,6.329730596223188e-4,4.010639616276646e-4,1.9924517251750172e-4,6580,tblc,0,50,55,0,3,5
57,female,0.0017648689057920372,6.329730596223188e-4,4.010639616276646e-4,1.9924517251750172e-4,6580,tblc,0,50,55,0,3,5
58,female,0.0017648689057920372,6.329730596223188e-4,4.010639616276646e-4,1.9924517251750172e-4,6580,tblc,0,50,55,0,3,5
59,female,0.0017648689057920372,6.329730596223188e-4,4.010639616276646e-4,1.9924517251750172e-4,6580,tblc,0,50,55,0,3,5
60,female,0.0031086499289894797,0.0011545522122648527,7.544909410070742e-4,3.5235789491769065e-4,5725,tblc,0,50,60,0,4,5
61,female,0.0031086499289894797,0.0011545522122648527,7.544909410070742e-4,3.5235789491769065e-4,5725,tblc,0,50,60,0,4,5
62,female,0.0031086499289894797,0.0011545522122648527,7.544909410070742e-4,3.5235789491769065e-4,5725,tblc,0,50,60,0,4,5
63,female,0.0031086499289894797,0.0011545522122648527,7.544909410070742e-4,3.5235789491769065e-4,5725,tblc,0,50,60,0,4,5
64,female,0.0031086499289894797,0.0011545522122648527,7.544909410070742e-4,3.5235789491769065e-4,5725,tblc,0,50,60,0,4,5
65,female,0.004872219410481791,0.0018960797928699855,0.0012546036049873256,5.511081728857966e-4,5670,tblc,0,50,65,0,7,5
66,female,0.004872219410481791,0.0018960797928699855,0.0012546036049873256,5.511081728857966e-4,5670,tblc,0,50,65,0,7,5
67,female,0.004872219410481791,0.0018960797928699855,0.0012546036049873256,5.511081728857966e-4,5670,tblc,0,50,65,0,7,5
68,female,0.004872219410481791,0.0018960797928699855,0.0012546036049873256,5.511081728857966e-4,5670,tblc,0,50,65,0,7,5
69,female,0.004872219410481791,0.0018960797928699855,0.0012546036049873256,5.511081728857966e-4,5670,tblc,0,50,65,0,7,5
70,female,0.005497254551834058,0.0023961265743111114,0.0016839767793176306,6.591294040478121e-4,5104,tblc,0,50,70,0,9,5
71,female,0.005497254551834058,0.0023961265743111114,0.0016839767793176306,6.591294040478121e-4,5104,tblc,0,50,70,0,9,5
72,female,0.005497254551834058,0.0023961265743111114,0.0016839767793176306,6.591294040478121e-4,5104,tblc,0,50,70,0,9,5
73,female,0.005497254551834058,0.0023961265743111114,0.0016839767793176306,6.591294040478121e-4,5104,tblc,0,50,70,0,9,5
74,female,0.005497254551834058,0.0023961265743111114,0.0016839767793176306,6.591294040478121e-4,5104,tblc,0,50,70,0,9,5
75,female,0.006188844125458378,0.003047136499693898,0.0022069329263057326,7.928691061263279e-4,3792,tblc,0,50,75,0,8,5
76,female,0.006188844125458378,0.003047136499693898,0.0022069329263057326,7.928691061263279e-4,3792,tblc,0,50,75,0,8,5
77,female,0.006188844125458378,0.003047136499693898,0.0022069329263057326,7.928691061263279e-4,3792,tblc,0,50,75,0,8,5
78,female,0.006188844125458378,0.003047136499693898,0.0022069329263057326,7.928691061263279e-4,3792,tblc,0,50,75,0,8,5
79,female,0.006188844125458378,0.003047136499693898,0.0022069329263057326,7.928691061263279e-4,3792,tblc,0,50,75,0,8,5
80,female,0.005321871278244832,0.0032049232574985487,0.0026374181144860325,7.626965971944589e-4,2983,tblc,0,20,80,0,8,5
81,female,0.005321871278244832,0.0032049232574985487,0.0026374181144860325,7.626965971944589e-4,2983,tblc,0,20,80,0,8,5
82,female,0.005321871278244832,0.0032049232574985487,0.0026374181144860325,7.626965971944589e-4,2983,tblc,0,20,80,0,8,5
83,female,0.005321871278244832,0.0032049232574985487,0.0026374181144860325,7.626965971944589e-4,2983,tblc,0,20,80,0,8,5
84,female,0.005321871278244832,0.0032049232574985487,0.0026374181144860325,7.626965971944589e-4,2983,tblc,0,20,80,0,8,5
85,female,0.005527944281022476,0.003685747038130126,0.00303294669162783,8.333534841878189e-4,2001,tblc,0,20,85,0,6,5
86,female,0.005527944281022476,0.003685747038130126,0.00303294669162783,8.333534841878189e-4,2001,tblc,0,20,85,0,6,5
87,female,0.005527944281022476,0.003685747038130126,0.00303294669162783,8.333534841878189e-4,2001,tblc,0,20,85,0,6,5
88,female,0.005527944281022476,0.003685747038130126,0.00303294669162783,8.333534841878189e-4,2001,tblc,0,20,85,0,6,5
89,female,0.005527944281022476,0.003685747038130126,0.00303294669162783,8.333534841878189e-4,2001,tblc,0,20,85,0,6,5
90,female,0.005086416076454348,0.003933112119054339,0.0032373189500634024,8.439835130919107e-4,1019,tblc,0,10,90,0,3,5
91,female,0.005086416076454348,0.003933112119054339,0.0032373189500634024,8.439835130919107e-4,1019,tblc,0,10,90,0,3,5
92,female,0.005086416076454348,0.003933112119054339,0.0032373189500634024,8.439835130919107e-4,1019,tblc,0,10,90,0,3,5
93,female,0.005086416076454348,0.003933112119054339,0.0032373189500634024,8.439835130919107e-4,1019,tblc,0,10,90,0,3,5
94,female,0.005086416076454348,0.003933112119054339,0.0032373189500634024,8.439835130919107e-4,1019,tblc,0,10,90,0,3,5
95,female,0.002683177906984131,0.004579707208963743,0.0037697914832175564,8.040990017264359e-4,275,tblc,0,10,95,0,1,6
96,female,0.002683177906984131,0.004579707208963743,0.0037697914832175564,8.040990017264359e-4,275,tblc,0,10,95,0,1,6
97,female,0.002683177906984131,0.004579707208963743,0.0037697914832175564,8.040990017264359e-4,275,tblc,0,10,95,0,1,6
98,female,0.002683177906984131,0.004579707208963743,0.0037697914832175564,8.040990017264359e-4,275,tblc,0,10,95,0,1,6
99,female,0.002683177906984131,0.004579707208963743,0.0037697914832175564,8.040990017264359e-4,275,tblc,0,10,95,0,1,6
100,female,0.002683177906984131,0.004579707208963743,0.0037697914832175564,8.040990017264359e-4,275,tblc,0,10,95,0,1,6
